"Outcome","Moderator","Moderator_Display","Level","n_effects","n_studies","B_Coefficient","Estimate_lnRR","Estimate_Percent","SE","CI_Lower","CI_Upper","Z_value","P_Value","Omnibus_QM","Omnibus_P","Model"
"TSS","GSRain","Rainfall","≤200",108,10,0.0722,0.0722,7.48,0.0225,0.028,0.1164,3.2,0.0014,10.6195,0.0049,"Nested (Outliers Removed)"
"TSS","GSRain","Rainfall","200–500",34,2,0.0744,0.0744,7.73,0.0289,0.0178,0.131,2.5758,0.01,10.6195,0.0049,"Nested (Outliers Removed)"
"TSS","GN","Nitrogen","<100",67,5,0.028,0.028,2.83,0.0413,-0.0531,0.109,0.6762,0.4989,10.4353,0.0152,"Nested (Outliers Removed)"
"TSS","GN","Nitrogen","100–200",13,2,0.0603,0.0603,6.21,0.0331,-0.0046,0.1252,1.8218,0.0685,10.4353,0.0152,"Nested (Outliers Removed)"
"TSS","GN","Nitrogen","200–300",55,3,0.1323,0.1323,14.15,0.0513,0.0318,0.2328,2.5805,0.0099,10.4353,0.0152,"Nested (Outliers Removed)"
"TSS","Continent","Continent","Asia",175,11,0.096,0.096,10.07,0.0203,0.0562,0.1358,4.7263,0,22.6526,0,"Nested (Outliers Removed)"
"TSS","Continent","Continent","Europe",3,1,-0.0394,-0.0394,-3.86,0.0772,-0.1906,0.1119,-0.5099,0.6101,22.6526,0,"Nested (Outliers Removed)"
"TSS","Continent","Continent","Oceania",1,1,-0.0235,-0.0235,-2.33,0.1009,-0.2213,0.1743,-0.2331,0.8157,22.6526,0,"Nested (Outliers Removed)"
"Tacid","GMM","Mulch material","biodegradable film",69,7,-0.0402,-0.0402,-3.94,0.0508,-0.1398,0.0594,-0.7915,0.4287,0.9991,0.6068,"Nested (Outliers Removed)"
"Tacid","GMM","Mulch material","polyethylene",40,3,0.0162,0.0162,1.64,0.0338,-0.0501,0.0826,0.4799,0.6313,0.9991,0.6068,"Nested (Outliers Removed)"
"Tacid","GMC","Mulch color","Black",42,3,0.004,0.004,0.4,0.0347,-0.0639,0.0719,0.1155,0.9081,0.0777,0.9944,"Nested (Outliers Removed)"
"Tacid","GMC","Mulch color","Transparent",42,7,-0.0032,-0.0032,-0.31,0.041,-0.0835,0.0772,-0.0769,0.9387,0.0777,0.9944,"Nested (Outliers Removed)"
"Tacid","GMC","Mulch color","White",25,2,-0.0042,-0.0042,-0.41,0.0544,-0.1107,0.1024,-0.0764,0.9391,0.0777,0.9944,"Nested (Outliers Removed)"
"Tacid","Gem","Emitter flow rate","<2",40,3,0.0135,0.0135,1.36,0.0634,-0.1107,0.1377,0.2137,0.8308,0.0982,0.9521,"Nested (Outliers Removed)"
"Tacid","Gem","Emitter flow rate","2–4",27,4,0.0112,0.0112,1.13,0.0489,-0.0847,0.1071,0.2292,0.8187,0.0982,0.9521,"Nested (Outliers Removed)"
"Tacid","GST","Soil texture","coarse soils",48,3,0.0127,0.0127,1.28,0.0528,-0.0908,0.1162,0.2412,0.8094,2.2936,0.5137,"Nested (Outliers Removed)"
"Tacid","GST","Soil texture","fine soils",48,4,0.0863,0.0863,9.01,0.0736,-0.0579,0.2305,1.1729,0.2408,2.2936,0.5137,"Nested (Outliers Removed)"
"Tacid","GST","Soil texture","medium soils",13,2,-0.0438,-0.0438,-4.28,0.0472,-0.1362,0.0487,-0.9272,0.3538,2.2936,0.5137,"Nested (Outliers Removed)"
"Tacid","GSOM","Soil organic matter","< 1.5%",19,3,0.0198,0.0198,2,0.0767,-0.1305,0.1701,0.2584,0.7961,0.1331,0.9356,"Nested (Outliers Removed)"
"Tacid","GSOM","Soil organic matter","≥ 1.5%",36,1,0.0319,0.0319,3.25,0.1241,-0.2113,0.2751,0.2574,0.7969,0.1331,0.9356,"Nested (Outliers Removed)"
"Tacid","Gbd","Soil bulk density","<1.35",83,3,-0.0487,-0.0487,-4.75,0.0424,-0.1318,0.0344,-1.1487,0.2507,1.8531,0.3959,"Nested (Outliers Removed)"
"Tacid","Gbd","Soil bulk density","≥ 1.35",17,3,0.0268,0.0268,2.72,0.0367,-0.0452,0.0989,0.7305,0.4651,1.8531,0.3959,"Nested (Outliers Removed)"
"Tacid","GCLI","Climate zone","Arid",82,5,-0.0083,-0.0083,-0.82,0.0433,-0.0932,0.0766,-0.1912,0.8484,1.6088,0.6574,"Nested (Outliers Removed)"
"Tacid","GCLI","Climate zone","Equatorial",25,3,0.1145,0.1145,12.13,0.0956,-0.0728,0.3018,1.198,0.2309,1.6088,0.6574,"Nested (Outliers Removed)"
"Tacid","GCLI","Climate zone","Warm temperate",2,1,-0.0188,-0.0188,-1.86,0.0508,-0.1184,0.0808,-0.3703,0.7112,1.6088,0.6574,"Nested (Outliers Removed)"
"Tacid","GSRain","Rainfall","≤200",63,5,0.0272,0.0272,2.75,0.0175,-0.0072,0.0615,1.5485,0.1215,10.0946,0.0064,"Nested (Outliers Removed)"
"Tacid","GSRain","Rainfall","200–500",6,1,-0.1083,-0.1083,-10.27,0.0391,-0.1849,-0.0318,-2.7743,0.0055,10.0946,0.0064,"Nested (Outliers Removed)"
"Tacid","GN","Nitrogen","100–200",58,3,-0.0035,-0.0035,-0.35,0.0457,-0.0931,0.0862,-0.076,0.9394,1.9532,0.3766,"Nested (Outliers Removed)"
"Tacid","GN","Nitrogen","200–300",12,3,-0.0718,-0.0718,-6.93,0.0514,-0.1726,0.029,-1.3955,0.1629,1.9532,0.3766,"Nested (Outliers Removed)"
"Tacid","Continent","Continent","Asia",108,8,-0.0091,-0.0091,-0.91,0.0298,-0.0676,0.0493,-0.3062,0.7594,2.0294,0.3625,"Nested (Outliers Removed)"
"Tacid","Continent","Continent","North America",1,1,0.1755,0.1755,19.18,0.1261,-0.0717,0.4227,1.3913,0.1641,2.0294,0.3625,"Nested (Outliers Removed)"
"pH","GMC","Mulch color","Black",2,1,-0.0218,-0.0218,-2.15,0.0068,-0.0351,-0.0084,-3.1992,0.0014,12.2096,0.0022,"Nested (Outliers Removed)"
"pH","GMC","Mulch color","Transparent",13,3,-0.0244,-0.0244,-2.41,0.0174,-0.0584,0.0096,-1.4053,0.1599,12.2096,0.0022,"Nested (Outliers Removed)"
"pH","GCLI","Climate zone","Arid",6,1,-0.0042,-0.0042,-0.42,0.0402,-0.083,0.0746,-0.1041,0.9171,1.0001,0.8012,"Nested (Outliers Removed)"
"pH","GCLI","Climate zone","Boreal",8,1,-0.0203,-0.0203,-2.01,0.0332,-0.0854,0.0448,-0.6107,0.5414,1.0001,0.8012,"Nested (Outliers Removed)"
"pH","GCLI","Climate zone","Warm temperate",1,1,-0.0258,-0.0258,-2.54,0.0328,-0.0901,0.0386,-0.785,0.4324,1.0001,0.8012,"Nested (Outliers Removed)"
"pH","GSRain","Rainfall",">500 ",3,1,0,0,0,0.0122,-0.0239,0.0239,0,1,22.1107,1e-04,"Nested (Outliers Removed)"
"pH","GSRain","Rainfall","≤200",3,1,-0.0234,-0.0234,-2.31,0.007,-0.0372,-0.0096,-3.3214,9e-04,22.1107,1e-04,"Nested (Outliers Removed)"
"pH","GSRain","Rainfall","200–500",9,2,-0.0406,-0.0406,-3.97,0.0122,-0.0644,-0.0167,-3.3286,9e-04,22.1107,1e-04,"Nested (Outliers Removed)"
"pH","Continent","Continent","Asia",7,2,-0.0258,-0.0258,-2.54,0.0086,-0.0425,-0.009,-3.0097,0.0026,12.9187,0.0016,"Nested (Outliers Removed)"
"pH","Continent","Continent","North America",8,1,-0.018,-0.018,-1.78,0.0092,-0.0359,0,-1.9648,0.0494,12.9187,0.0016,"Nested (Outliers Removed)"
"Sugar","GMM","Mulch material","biodegradable film",5,2,0.1234,0.1234,13.13,0.0187,0.0867,0.1601,6.5902,0,43.6828,0,"Nested (Outliers Removed)"
"Sugar","GMM","Mulch material","polyethylene",36,1,0.0251,0.0251,2.54,0.05,-0.0729,0.1231,0.502,0.6157,43.6828,0,"Nested (Outliers Removed)"
"Sugar","GMC","Mulch color","Black",20,2,0.0687,0.0687,7.11,0.0563,-0.0417,0.1791,1.22,0.2225,1.5605,0.4583,"Nested (Outliers Removed)"
"Sugar","GMC","Mulch color","Transparent",23,3,0.0685,0.0685,7.09,0.0592,-0.0476,0.1846,1.1565,0.2475,1.5605,0.4583,"Nested (Outliers Removed)"
"Sugar","GST","Soil texture","fine soils",7,2,0.008,0.008,0.8,0.0563,-0.1024,0.1184,0.1419,0.8872,6.4686,0.0394,"Nested (Outliers Removed)"
"Sugar","GST","Soil texture","medium soils",36,1,0.1234,0.1234,13.13,0.0486,0.0282,0.2187,2.5394,0.0111,6.4686,0.0394,"Nested (Outliers Removed)"
"Sugar","GpH","Soil pH","<7",6,1,-0.0209,-0.0209,-2.06,0.044,-0.1072,0.0655,-0.4737,0.6357,46.9633,0,"Nested (Outliers Removed)"
"Sugar","GpH","Soil pH","≥7",37,2,0.1233,0.1233,13.12,0.018,0.0879,0.1586,6.8366,0,46.9633,0,"Nested (Outliers Removed)"
"Sugar","GSOM","Soil organic matter","< 1.5%",42,2,0.118,0.118,12.52,0.15,-0.176,0.4119,0.7866,0.4315,1.2465,0.5362,"Nested (Outliers Removed)"
"Sugar","GSOM","Soil organic matter","≥ 1.5%",1,1,0.057,0.057,5.86,0.0719,-0.084,0.1979,0.7923,0.4282,1.2465,0.5362,"Nested (Outliers Removed)"
"Sugar","Gbd","Soil bulk density","<1.35",6,1,-0.0209,-0.0209,-2.06,0.0677,-0.1535,0.1118,-0.3083,0.7578,5.2861,0.0711,"Nested (Outliers Removed)"
"Sugar","Gbd","Soil bulk density","≥ 1.35",36,1,0.1234,0.1234,13.13,0.0542,0.0172,0.2296,2.2784,0.0227,5.2861,0.0711,"Nested (Outliers Removed)"
"Sugar","GCLI","Climate zone","Arid",6,1,0.1233,0.1233,13.12,0.018,0.0879,0.1586,6.8366,0,46.9633,0,"Nested (Outliers Removed)"
"Sugar","GCLI","Climate zone","Boreal",37,2,-0.0209,-0.0209,-2.06,0.044,-0.1072,0.0655,-0.4737,0.6357,46.9633,0,"Nested (Outliers Removed)"
"Sugar","Continent","Continent","Asia",7,2,0.1234,0.1234,13.13,0.0486,0.0282,0.2187,2.5394,0.0111,6.4686,0.0394,"Nested (Outliers Removed)"
"Sugar","Continent","Continent","North America",36,1,0.008,0.008,0.8,0.0563,-0.1024,0.1184,0.1419,0.8872,6.4686,0.0394,"Nested (Outliers Removed)"
"SAR","GMM","Mulch material","biodegradable film",60,5,0.1785,0.1785,19.54,0.0674,0.0465,0.3105,2.6498,0.0081,9.5813,0.0083,"Nested (Outliers Removed)"
"SAR","GMM","Mulch material","polyethylene",44,3,0.1788,0.1788,19.58,0.0634,0.0545,0.303,2.8202,0.0048,9.5813,0.0083,"Nested (Outliers Removed)"
"SAR","GMC","Mulch color","Black",44,2,0.2309,0.2309,25.98,0.0671,0.0994,0.3624,3.4411,6e-04,12.0076,0.0074,"Nested (Outliers Removed)"
"SAR","GMC","Mulch color","Transparent",19,2,0.2149,0.2149,23.97,0.0703,0.0771,0.3526,3.0577,0.0022,12.0076,0.0074,"Nested (Outliers Removed)"
"SAR","GMC","Mulch color","White",25,3,0.165,0.165,17.94,0.0757,0.0166,0.3135,2.179,0.0293,12.0076,0.0074,"Nested (Outliers Removed)"
"SAR","Arragement","Arragement","subsurface",97,5,-0.0188,-0.0188,-1.87,0.1126,-0.2396,0.2019,-0.1673,0.8671,18.665,1e-04,"Nested (Outliers Removed)"
"SAR","Arragement","Arragement","surface",7,1,0.2165,0.2165,24.17,0.0501,0.1182,0.3148,4.3171,0,18.665,1e-04,"Nested (Outliers Removed)"
"SAR","GST","Soil texture","coarse soils",58,3,0.116,0.116,12.3,0.0772,-0.0353,0.2674,1.5028,0.1329,11.8807,0.0026,"Nested (Outliers Removed)"
"SAR","GST","Soil texture","medium soils",46,3,0.2424,0.2424,27.43,0.0781,0.0892,0.3956,3.102,0.0019,11.8807,0.0026,"Nested (Outliers Removed)"
"SAR","Gbd","Soil bulk density","<1.35",94,4,0.3107,0.3107,36.44,0.0777,0.1583,0.4631,3.9968,1e-04,20.8003,0,"Nested (Outliers Removed)"
"SAR","Gbd","Soil bulk density","≥ 1.35",10,2,0.1158,0.1158,12.28,0.0527,0.0125,0.2192,2.1968,0.028,20.8003,0,"Nested (Outliers Removed)"
"SAR","GN","Nitrogen","<100",42,1,0.2674,0.2674,30.66,0.0701,0.1299,0.4049,3.8124,1e-04,51.8121,0,"Nested (Outliers Removed)"
"SAR","GN","Nitrogen","100–200",10,2,0.0997,0.0997,10.48,0.0648,-0.0272,0.2266,1.5393,0.1237,51.8121,0,"Nested (Outliers Removed)"
"SAR","GN","Nitrogen","200–300",9,1,0.3116,0.3116,36.56,0.0527,0.2082,0.415,5.9083,0,51.8121,0,"Nested (Outliers Removed)"
"Firmness","GCLI","Climate zone","Arid",7,1,0.0267,0.0267,2.71,0.0359,-0.0436,0.097,0.7452,0.4561,0.6009,0.7405,"Nested (Outliers Removed)"
"Firmness","GCLI","Climate zone","Warm temperate",8,1,0.0074,0.0074,0.75,0.0348,-0.0608,0.0757,0.2133,0.8311,0.6009,0.7405,"Nested (Outliers Removed)"
"Firmness","GN","Nitrogen","100–200",7,1,0.0267,0.0267,2.71,0.0359,-0.0436,0.097,0.7452,0.4561,0.6009,0.7405,"Nested (Outliers Removed)"
"Firmness","GN","Nitrogen","200–300",8,1,0.0074,0.0074,0.75,0.0348,-0.0608,0.0757,0.2133,0.8311,0.6009,0.7405,"Nested (Outliers Removed)"
"Lyco","GMC","Mulch color","Black",84,2,0.0546,0.0546,5.62,0.0155,0.0242,0.0851,3.5146,4e-04,412.0749,0,"Nested (Outliers Removed)"
"Lyco","GMC","Mulch color","White",6,1,0.0863,0.0863,9.02,0.0043,0.0779,0.0948,19.9931,0,412.0749,0,"Nested (Outliers Removed)"
"Lyco","GST","Soil texture","coarse soils",94,3,0.0874,0.0874,9.14,0.004,0.0796,0.0953,21.7794,0,486.9504,0,"Nested (Outliers Removed)"
"Lyco","GST","Soil texture","fine soils",6,1,0.0546,0.0546,5.62,0.0154,0.0245,0.0848,3.5511,4e-04,486.9504,0,"Nested (Outliers Removed)"
"Lyco","Gbd","Soil bulk density","<1.35",94,3,0.0546,0.0546,5.62,0.0154,0.0245,0.0848,3.5511,4e-04,486.9504,0,"Nested (Outliers Removed)"
"Lyco","Gbd","Soil bulk density","≥ 1.35",6,1,0.0874,0.0874,9.14,0.004,0.0796,0.0953,21.7794,0,486.9504,0,"Nested (Outliers Removed)"
"Lyco","GCLI","Climate zone","Arid",94,3,0.0874,0.0874,9.14,0.004,0.0796,0.0953,21.7794,0,486.9504,0,"Nested (Outliers Removed)"
"Lyco","GCLI","Climate zone","Warm temperate",6,1,0.0546,0.0546,5.62,0.0154,0.0245,0.0848,3.5511,4e-04,486.9504,0,"Nested (Outliers Removed)"
"Lyco","GSRain","Rainfall","≤200",72,4,0.0843,0.0843,8.8,0.0046,0.0754,0.0933,18.4508,0,463.3372,0,"Nested (Outliers Removed)"
"Lyco","GSRain","Rainfall","200–500",28,1,0.0884,0.0884,9.24,0.008,0.0727,0.104,11.0862,0,463.3372,0,"Nested (Outliers Removed)"
"Lyco","GN","Nitrogen","<100",48,2,0.0898,0.0898,9.39,0.0099,0.0704,0.1091,9.0944,0,138.984,0,"Nested (Outliers Removed)"
"Lyco","GN","Nitrogen","100–200",52,2,0.077,0.077,8.01,0.0103,0.0569,0.0971,7.5018,0,138.984,0,"Nested (Outliers Removed)"
"VC","GMM","Mulch material","biodegradable film",103,6,0.1222,0.1222,13,0.0201,0.0828,0.1616,6.0822,0,136.0632,0,"Nested (Outliers Removed)"
"VC","GMM","Mulch material","polyethylene",39,2,0.1202,0.1202,12.77,0.0118,0.097,0.1434,10.1496,0,136.0632,0,"Nested (Outliers Removed)"
"VC","GMC","Mulch color","Black",29,4,0.1325,0.1325,14.17,0.0145,0.1041,0.1608,9.1653,0,802.5628,0,"Nested (Outliers Removed)"
"VC","GMC","Mulch color","Transparent",86,3,0.1063,0.1063,11.22,0.011,0.0848,0.1279,9.6778,0,802.5628,0,"Nested (Outliers Removed)"
"VC","GMC","Mulch color","White",20,2,0.1365,0.1365,14.62,0.0055,0.1258,0.1472,24.998,0,802.5628,0,"Nested (Outliers Removed)"
"VC","Gem","Emitter flow rate","<2",11,2,0.1202,0.1202,12.77,0.0114,0.0979,0.1425,10.5515,0,131.5108,0,"Nested (Outliers Removed)"
"VC","Gem","Emitter flow rate","2–4",47,3,0.0966,0.0966,10.14,0.0215,0.0544,0.1387,4.4918,0,131.5108,0,"Nested (Outliers Removed)"
"VC","Arragement","Arragement","subsurface",135,6,0.1062,0.1062,11.2,0.0277,0.052,0.1604,3.8405,1e-04,155.7726,0,"Nested (Outliers Removed)"
"VC","Arragement","Arragement","surface",7,1,0.1232,0.1232,13.12,0.0104,0.1029,0.1436,11.8753,0,155.7726,0,"Nested (Outliers Removed)"
"VC","GST","Soil texture","coarse soils",51,4,0.1304,0.1304,13.93,0.012,0.1069,0.1538,10.9043,0,192.6872,0,"Nested (Outliers Removed)"
"VC","GST","Soil texture","medium soils",91,3,0.1118,0.1118,11.83,0.013,0.0863,0.1373,8.5897,0,192.6872,0,"Nested (Outliers Removed)"
"VC","Gbd","Soil bulk density","<1.35",137,6,0.1203,0.1203,12.78,0.0322,0.0572,0.1834,3.7362,2e-04,144.5883,0,"Nested (Outliers Removed)"
"VC","Gbd","Soil bulk density","≥ 1.35",5,1,0.121,0.121,12.86,0.0106,0.1002,0.1417,11.4293,0,144.5883,0,"Nested (Outliers Removed)"
"VC","GCLI","Climate zone","Arid",137,6,0.119,0.119,12.63,0.0104,0.0986,0.1394,11.4313,0,149.4996,0,"Nested (Outliers Removed)"
"VC","GCLI","Climate zone","Warm temperate",5,1,0.1407,0.1407,15.11,0.0324,0.0771,0.2043,4.3388,0,149.4996,0,"Nested (Outliers Removed)"
"VC","GSRain","Rainfall","≤200",79,6,0.121,0.121,12.86,0.0133,0.0949,0.1471,9.0761,0,82.4969,0,"Nested (Outliers Removed)"
"VC","GSRain","Rainfall","200–500",28,1,0.104,0.104,10.96,0.0187,0.0674,0.1406,5.5655,0,82.4969,0,"Nested (Outliers Removed)"
"VC","GN","Nitrogen","<100",48,2,0.1345,0.1345,14.39,0.0407,0.0548,0.2142,3.3068,9e-04,39.1275,0,"Nested (Outliers Removed)"
"VC","GN","Nitrogen","100–200",10,2,0.1033,0.1033,10.88,0.0298,0.0448,0.1618,3.4614,5e-04,39.1275,0,"Nested (Outliers Removed)"
"VC","GN","Nitrogen","200–300",42,1,0.1306,0.1306,13.95,0.0324,0.067,0.1941,4.0264,1e-04,39.1275,0,"Nested (Outliers Removed)"
